id,kode_provinsi,nama_provinsi,persentase_penduduk_miskin,satuan,tahun,id_gini,kode_provinsi_gini,semester,gini_ratio,satuan_gini,id_tpt,kode_provinsi_tpt,daerah,tingkat_penganggur_terbuka,satuan_tpt,id_ipm,kode_provinsi_ipm,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,indeks_pembangunan_manusia,satuan_ipm,kemiskinan_tahun_depan,rata_rata_inflasi_tahunan
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,13,32,3207,KABUPATEN CIAMIS,LAKI-LAKI,75.43,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,14,32,3207,KABUPATEN CIAMIS,PEREMPUAN,64.87,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,15,32,3208,KABUPATEN KUNINGAN,LAKI-LAKI,74.0,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,16,32,3208,KABUPATEN KUNINGAN,PEREMPUAN,64.1,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,17,32,3209,KABUPATEN CIREBON,LAKI-LAKI,72.97,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,18,32,3209,KABUPATEN CIREBON,PEREMPUAN,60.51,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,19,32,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,71.29,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,20,32,3210,KABUPATEN MAJALENGKA,PEREMPUAN,61.26,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,21,32,3211,KABUPATEN SUMEDANG,LAKI-LAKI,74.36,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,22,32,3211,KABUPATEN SUMEDANG,PEREMPUAN,70.55,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,23,32,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,70.65,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,24,32,3212,KABUPATEN INDRAMAYU,PEREMPUAN,62.15,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,25,32,3213,KABUPATEN SUBANG,LAKI-LAKI,72.11,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,16,32,PERDESAAN,7.98,PERSEN,26,32,3213,KABUPATEN SUBANG,PEREMPUAN,65.31,POIN,7.45,"18,575"
